squareFootage,lighting,price,rooms,bathrooms,location,description,ammenities
1200,medium,250000,3,2,"[37.7749,-122.4194]","A cozy family home in a quiet neighborhood.","{""yard"":true,""garage"":true,""pool"":false}"
800,low,150000,2,1,"[40.7128,-74.0060]","Compact apartment in the city center.","{""yard"":false,""garage"":false,""pool"":false}"
2500,high,450000,5,3,"[34.0522,-118.2437]","Spacious villa with scenic views.","{""yard"":true,""garage"":true,""pool"":true}"
1800,medium,350000,4,2,"[36.1627,-86.7816]","Modern home in a bustling suburb.","{""yard"":true,""garage"":true,""pool"":false}"
900,low,175000,2,1,"[41.8781,-87.6298]","Affordable condo with easy access to amenities.","{""yard"":false,""garage"":false,""pool"":false}"
1600,medium,300000,3,2,"[47.6062,-122.3321]","Charming house near downtown.","{""yard"":true,""garage"":false,""pool"":false}"
3000,high,500000,6,4,"[25.7617,-80.1918]","Luxury mansion with private pool.","{""yard"":true,""garage"":true,""pool"":true}"
2200,medium,400000,4,3,"[39.7392,-104.9903]","Beautiful home with mountain views.","{""yard"":true,""garage"":true,""pool"":false}"
1100,low,200000,3,2,"[32.7767,-96.7970]","Charming starter home.","{""yard"":true,""garage"":true,""pool"":false}"
1700,medium,325000,3,2.5,"[29.7604,-95.3698]","Contemporary design in a growing community.","{""yard"":true,""garage"":true,""pool"":false}"
750,low,140000,1,1,"[39.9526,-75.1652]","Small but functional studio.","{""yard"":false,""garage"":false,""pool"":false}"
2000,medium,375000,4,3,"[33.4484,-112.0740]","Spacious house with modern upgrades.","{""yard"":true,""garage"":true,""pool"":true}"
1300,high,275000,3,2,"[44.9778,-93.2650]","Stylish townhouse in a prime location.","{""yard"":false,""garage"":true,""pool"":false}"
1400,medium,290000,3,2,"[38.9072,-77.0369]","Classic home in the nation's capital.","{""yard"":true,""garage"":true,""pool"":false}"
3200,high,600000,5,4,"[28.5383,-81.3792]","Expansive property with luxury finishes.","{""yard"":true,""garage"":true,""pool"":true}"
1150,low,210000,2,2,"[37.3382,-121.8863]","Affordable duplex in a growing tech hub.","{""yard"":false,""garage"":false,""pool"":false}"
950,low,180000,2,1,"[42.3601,-71.0589]","Historic condo with a touch of charm.","{""yard"":false,""garage"":false,""pool"":false}"
2100,high,425000,4,3,"[34.0522,-118.2437]","Modern and open-concept home.","{""yard"":true,""garage"":true,""pool"":true}"
1450,medium,310000,3,2.5,"[40.7128,-74.0060]","Stylish family home in the city.","{""yard"":true,""garage"":true,""pool"":false}"
1250,medium,265000,3,2,"[37.7749,-122.4194]","Eco-friendly design with solar panels.","{""yard"":true,""garage"":false,""pool"":false}"
